guessWord,genreHint,directorsHint,studioHint 
Drive Hard,"Action & Adventure, Art House & International, Comedy, Special Interest",Brian Trenchard-Smith,RLJ/Image Entertainment
"Drive, He Said",Drama,Jack Nicholson,Columbia Pictures
Drive Me Crazy,Comedy,John Schultz,20th Century Fox
Driven,"Comedy, Mystery & Suspense",Nick Hamm,Variance Films & Universal Pictures Content Group
DriverX,Drama,Henry Barrial,Sundance Selects
Drone,Mystery & Suspense,Jason Bourque,
Drones,"Action & Adventure, Drama",Rick Rosenthal,Phase 4 Films
Drop Dead Fred,Comedy,Ate de Jong,New Line Cinema
Drop Dead Gorgeous,Comedy,Michael Patrick Jann,New Line Cinema.
Drop Zone,Action & Adventure,John Badham,Paramount
Drowning Mona,"Comedy, Drama",Nick Gomez,Sony Pictures Home Entertainment
The Drowning Pool,"Classics, Drama, Mystery & Suspense",Stuart Rosenberg,WARNER BROTHERS PICTURES
Drug Lord: The Legend Of Shorty,"Documentary, Special Interest","Angus MacQueen, Guillermo Galdos",Gravitas Ventures
Drug War,"Art House & International, Special Interest",Johnnie To,Variance Films
Drugstore Cowboy,Drama,Gus Van Sant,Live Home Video
Drumline,"Comedy, Drama",Charles Stone III,20th Century Fox
The Drum (Drums),"Action & Adventure, Art House & International",Zoltan Korda,Criterion Collection
Drums Along the Mohawk,"Action & Adventure, Classics, Western",John Ford,20th Century Fox Film Corporation
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,Documentary,Douglas Tirola,Magnolia Pictures
Drunkboat,Drama,Bob Meyer,Seven Arts Films/LANTERN LANE
Drunken Master (Jui kuen),"Action & Adventure, Art House & International, Comedy",Woo-ping Yuen,Sony Pictures Home Entertainment
Drunks,Drama,Peter Cohn,Winstar
The Dry Land,Drama,Ryan Piers Williams,Freestyle Releasing
Duane Hopwood,"Art House & International, Drama",Matt Mulhern,Big Beach
Duck,"Art House & International, Comedy, Drama","Nicole Bettauer, Nic Bettauer",Right Brained Releasing
Duck Butter,Comedy,Miguel Arteta,The Orchard
Duck Season (Temporada de patos),"Art House & International, Comedy",Fernando Eimbcke,Warner Independent Pictures
Duck Soup,"Classics, Comedy",Leo McCarey,Paramount Pictures
"Duck, You Sucker (A Fistful of Dynamite) (Giù la testa)","Action & Adventure, Classics, Western",Sergio Leone,United Artists
DuckTales: The Movie - Treasure of the Lost Lamp,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",Bob Hathcock,Walt Disney Productions
Dude Bro Party Massacre III,"Comedy, Horror","Jon Salmon, Tomm Jacobsen, Michael Rousselet",5-Second Films and Snoot Entertainment
"Dude, Where's My Car?",Comedy,Danny Leiner,20th Century Fox
Dudley Do-Right,"Comedy, Kids & Family",Hugh Wilson,Universal Pictures
Due Date,Comedy,Todd Phillips,Warner Bros. Pictures
The Duellists,"Action & Adventure, Drama",Ridley Scott,Paramount Pictures
The Dukes,"Comedy, Drama",Robert Davi,Cavu Pictures
The Dukes of Hazzard,"Action & Adventure, Comedy",Jay Chandrasekhar,Warner Bros. Pictures
The Dukes of Hazzard: The Beginning,"Action & Adventure, Comedy",Robert Berlinger,Warner Home Video
Dum Maaro Dum,"Art House & International, Mystery & Suspense",Rohan Sippy,20th Century Fox
Duma,"Action & Adventure, Drama, Kids & Family",Carroll Ballard,Warner Bros. Pictures
Dumb and Dumber,"Action & Adventure, Comedy, Special Interest",Peter Farrelly,Warner Bros
Dumb and Dumber To,Comedy,"J.B. Rogers, Bobby Farrelly, Peter Farrelly",Universal Pictures
Dumb and Dumberer: When Harry Met Lloyd,Comedy,Troy Miller,New Line Cinema
Dumbo,"Animation, Kids & Family, Science Fiction & Fantasy","Sam Armstrong, Jack Kinney, Norman Ferguson, Wilfred Jackson, Bill Roberts, Ben Sharpsteen, Samuel Armstrong",Walt Disney Productions
Dumbo,"Animation, Kids & Family, Science Fiction & Fantasy",Tim Burton,Walt Disney Pictures
Dumbstruck,"Documentary, Special Interest",Mark Goffman,Truly Indie
Dumplin',Comedy,Anne Fletcher,Netflix
The Dungeon Masters,"Documentary, Special Interest",Keven McAlester,MPI Home Video
Dungeons & Dragons,"Action & Adventure, Science Fiction & Fantasy",Courtney Solomon,New Line Cinema
Dunkirk,"Action & Adventure, Drama",Christopher Nolan,Warner Bros. Pictures
Dunston Checks In,"Comedy, Kids & Family",Ken Kwapis,Twentieth Century Fox Home Entertainment
The Dunwich Horror,"Horror, Mystery & Suspense",Daniel Haller,AIP
Duplex,Comedy,Danny DeVito,Miramax Films
Duplicity,"Drama, Mystery & Suspense",Tony Gilroy,Universal Pictures
Dust,"Art House & International, Drama, Western, Romance",Milcho Manchevski,Lions Gate Films
Dust Devil,"Drama, Horror",Richard Stanley,Miramax
The Dust Factory,"Drama, Kids & Family, Science Fiction & Fantasy",Eric Small,MGM
Dust to Glory,"Action & Adventure, Documentary, Sports & Fitness",Dana Brown,IFC Films
Dying Breed,Horror,Jody Dwyer,After Dark Films
The Dying Gaul,"Art House & International, Drama, Romance",Craig Lucas,Strand Releasing
Dying Laughing,Documentary,"Paul Toogood, Lloyd Stanton",Gravitas Ventures
Dying of the Light,"Drama, Mystery & Suspense",Paul Schrader,The Film Arcade
Dying To Know: Ram Dass & Timothy Leary,"Documentary, Special Interest",Gay Dillingham,CNS Communications
Dynamite Warrior,"Action & Adventure, Comedy, Documentary",Chalerm Wongpim,Magnolia Pictures
Dysfunktional Family,"Comedy, Documentary",George Gallo,Miramax Films
E-Demon,Drama,Jeremy Wechter,Dark Cuts
Eagle Eye,"Drama, Mystery & Suspense",D.J. Caruso,Paramount Studios
Eagle vs Shark,Comedy,Taika Waititi,Miramax Films
Eagles of Death Metal: Nos Amis (Our Friends),Documentary,Colin Hanks,HBO Films
Eames: The Architect And The Painter,"Documentary, Special Interest","Jason Cohn, Bill Jersey",First Run Features
Early Man,"Animation, Comedy, Kids & Family",Nick Park,Lionsgate
Early Summer,"Art House & International, Classics, Drama",Yasujiro Ozu,Criterion Collection
Earth Girls Are Easy,"Comedy, Musical & Performing Arts, Science Fiction & Fantasy",Julien Temple,Vestron Pictures
Earth: One Amazing Day,"Documentary, Kids & Family","Richard Dale, Peter Webber, Lixin Fan",Earth Film Productions
Earth to Echo,Action & Adventure,Dave Green,Relativity Media
Earth vs. the Flying Saucers,"Classics, Science Fiction & Fantasy",Fred F. Sears,Columbia Pictures
Earthquake,"Action & Adventure, Drama, Mystery & Suspense",Mark Robson,MCA Universal Home Video
Easier with Practice,"Comedy, Drama",Kyle Patrick Alvarez,Lantern Lane Entertainment
East Is East,Comedy,Damien O'Donnell,Miramax Films
East Side Sushi,"Comedy, Romance",Anthony Lucero,Samuel Douek/Hola Mexico Film Festival
Easter Parade,"Classics, Musical & Performing Arts, Romance",Charles Walters,MGM Home Entertainment
Eastern Boys,Drama,Robin Campillo,First Run Features
Eastern Promises,"Drama, Mystery & Suspense",David Cronenberg,Focus Features
East/West,"Art House & International, Drama, Romance",Régis Wargnier,Sony Pictures Classics
Easy,"Comedy, Drama, Romance",Jane Weinstock,Magic Lamp Releasing
Easy A,"Comedy, Romance",Will Gluck,Sony Pictures/Screen Gems
"Easy Come, Easy Go","Classics, Comedy, Musical & Performing Arts",John Rich,Paramount Pictures
Easy Living,"Comedy, Drama, Mystery & Suspense",Adam Keleman,Gravitas Ventures
Easy Money: Hard to Kill,"Action & Adventure, Drama, Mystery & Suspense",Babak Najafi,Cinedigm
Easy Rider,"Action & Adventure, Drama",Dennis Hopper,Columbia Pictures
Eat Drink Man Woman (Yin shi nan nu),"Art House & International, Comedy, Drama, Romance",Ang Lee,Samuel Goldwyn Films
Eat Pray Love,Drama,Ryan Murphy,Sony Pictures
Eat That Question: Frank Zappa in His Own Words,"Art House & International, Documentary",Thorsten Schütte,Les Films du Poisson
Eat the Rich,"Action & Adventure, Art House & International, Comedy, Drama",Peter Richardson,Warner Home Video
Eating,"Art House & International, Comedy, Drama",Henry Jaglom,New Video Group
Eating Animals,Documentary,Christopher Dillon Quinn,IFC Films
Eating Out,"Comedy, Gay & Lesbian",Q. Allan Brocka,Ariztical Entertainment
Eating Out 2: Sloppy Seconds,"Comedy, Gay & Lesbian",Phillip J. Bartell,Ariztical Entertainment
Eating Out: All You Can Eat,"Comedy, Gay & Lesbian",Glenn Gaylord,Ariztical Entertainment
Eating Raoul,"Comedy, Cult Movies",Paul Bartel,Criterion Collection
Echelon Conspiracy,"Action & Adventure, Mystery & Suspense",Greg Marcks,AfterDark Films
Echo In the Canyon,Documentary,Andrew Slater (XI),Greenwich Entertainment
Echoes of Innocence,"Drama, Mystery & Suspense",Nathan Todd Sims,New World Pictures
Echoes of War,"Drama, Mystery & Suspense, Western",Kane Senes,Arc Entertainment
Ecstasy,"Art House & International, Drama, Mystery & Suspense, Romance",Rob Heydon,Tribeca Films
Ed,"Comedy, Kids & Family",Bill Couturié,MCA Universal Home Video
Ed Gein,"Drama, Horror",Chuck Parello,First Look
Ed Wood,"Comedy, Drama",Tim Burton,Buena Vista Pictures
EDC 2013: Under the Electric Sky,"Documentary, Musical & Performing Arts","Jane Lipsitz, Dan Cutforth",Focus Features
Eddie Murphy Delirious,"Comedy, Documentary, Musical & Performing Arts",Bruce Gowers,
Eddie Murphy Raw,"Comedy, Musical & Performing Arts",Robert Townsend,Paramount Pictures
Eddie The Eagle,Drama,Dexter Fletcher,20th Century Fox
Eddie The Sleepwalking Cannibal,"Art House & International, Comedy, Horror",Boris Rodriguez,Doppelgänger Releasing
Eden,"Drama, Romance",Howard Goldberg,The Match Factory
Eden,Drama,Megan Griffiths,Phase 4 Films
Eden,Drama,Mia Hansen-Løve,Broad Green Pictures
Eden Lake,"Horror, Mystery & Suspense",James Watkins,Third Rail Releasing
Eden Log,"Art House & International, Horror, Mystery & Suspense, Science Fiction & Fantasy",Franck Vestiel,Magnet Releasing/Magnolia Pictures
The Edge,"Action & Adventure, Mystery & Suspense",Lee Tamahori,Fox
Edge of Darkness,"Drama, Mystery & Suspense",Martin Campbell,Warner Bros. Pictures
The Edge of Love,"Drama, Romance",John Maybury,MPI Media Group
Edge of Seventeen,"Comedy, Drama",David Moreton,Strand Releasing
Edge of Winter,Drama,Rob Connolly,Independent Edge FIlms
Edison (Edison Force),"Drama, Horror, Mystery & Suspense",David J. Burke,Sony Pictures Home Entertainment
Edmond,Drama,Stuart Gordon,First Independent Pictures
EDtv,Comedy,Ron Howard,Universal Studios
The Education of Charlie Banks,"Art House & International, Drama",Fred Durst,Anchor Bay
The Education of Little Tree,"Drama, Kids & Family",Richard Friedenberg,Paramount Home Video
Edward Scissorhands,"Drama, Science Fiction & Fantasy, Romance",Tim Burton,20th Century Fox
Edwin Boyd (Citizen Gangster),Drama,Nathan Morlano,IFC Films
Egg,Comedy,Marianna Palka,Gravitas Ventures
Eight Below,"Action & Adventure, Drama","Bruce Hendricks, Frank Marshall",Buena Vista Pictures
Eight Legged Freaks,"Comedy, Horror, Science Fiction & Fantasy",Ellory Elkayem,Warner Bros.
Eight Men Out,Drama,John Sayles,Orion Pictures
Eight Miles High!,"Comedy, Drama",Achim Bornhak,Dokument Films
Eighth Grade,Comedy,Bo Burnham,A24
Eyes Wide Open (Einaym Pkuhot),"Art House & International, Drama, Romance",Haim Tabakman,Regent Releasing
Eisenstein In Guanajuato,"Comedy, Romance",Peter Greenaway,Submarine
Ejecta,Science Fiction & Fantasy,"Chad Archibald, Matt Wiele",Foresight Features
EK MAIN AIR EKK TU,"Art House & International, Comedy",Shakun Batra,UTV Communications
Eklavya,"Art House & International, Classics, Drama",Vidhu Vinod Chopra,Eros Entertainment
El Nino Pez (The Fish Child),"Art House & International, Drama, Mystery & Suspense, Romance",Lucía Puenzo,Regent Releasing/Here Media
El artista y la modelo (The Artist and the Model),Drama,Fernando Trueba,Cohen Media Group
El Aura (The Aura),"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Fabián Bielinsky,IFC First Take
El Bulli: Cooking In Progress,"Art House & International, Documentary, Special Interest",Gereon Wetzel,Lorber Films
El Camino: A Breaking Bad Movie,"Drama, Mystery & Suspense, Television",Vince Gilligan,Netflix
El Camino Christmas,Drama,David E. Talbert,Netflix
El Cantante,"Drama, Musical & Performing Arts",Leon Ichaso,Picturehouse
El Chicano,"Action & Adventure, Drama",Ben Hernandez Bray,Briarcliff Entertainment
El Dorado,"Action & Adventure, Classics, Western",Howard Hawks,Paramount Pictures
El Mariachi,"Action & Adventure, Art House & International, Drama",Robert Rodriguez,Sony Pictures Home Entertainment
El Norte,"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Gregory Nava,Criterion Collection
El Topo,"Art House & International, Drama, Special Interest",Alejandro Jodorowsky,Tartan Films
Elaine Stritch: Shoot Me,"Comedy, Documentary, Special Interest",Chiemi Karasawa,IFC Films
Election,Comedy,Alexander Payne,Paramount Pictures
Triad Election (Hak se wui yi wo wai kwai),"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Johnnie To,Tartan USA
Electra Glide in Blue,"Action & Adventure, Drama",James William Guercio,MGM Home Entertainment
"Electric Boogaloo: The Wild, Untold Story of Cannon Films","Documentary, Television",Mark Hartley,Drafthouse Films
The Electric Horseman,"Comedy, Drama, Romance",Sydney Pollack,MCA Universal Home Video
Electric Man,"Action & Adventure, Comedy, Drama",David Barras,FilmBuff
Electric Slide,Drama,Tristan Patterson,Paragon Pictures
Electroma,"Drama, Musical & Performing Arts, Science Fiction & Fantasy, Special Interest","Guy-Manuel De Homem-Christo, Thomas Bangalter",Daft Arts
Elektra,"Action & Adventure, Drama",Rob Bowman,20th Century Fox
Elektra Luxx,Comedy,Sebastian Gutierrez,Samuel Goldwyn Films
Elena,Drama,Andrey Zvyagintsev,Zeitgeist Films
Elephant,Drama,Gus Van Sant,Fine Line Features
Elephant Walk,"Action & Adventure, Classics, Drama, Romance",William Dieterle,Paramount Pictures
Elevator to the Gallows (Ascenseur pour l'échafaud),"Art House & International, Drama, Mystery & Suspense, Romance",Louis Malle,Rialto Pictures
Elf,"Comedy, Kids & Family, Special Interest",Jon Favreau,New Line Cinema
Elf: Buddy's Musical Christmas,"Animation, Kids & Family, Television","Mark Caballero, Seamus Walsh",Warner Bros. Animation
Elfie Hopkins,"Horror, Mystery & Suspense",Ryan Andrews,Black & Blue
Eli,Horror,Ciaran Foy,Netflix
Elis,Drama,Hugo Prata,Cleopatra Entertainment
Elisa & Marcela,"Drama, Romance",Isabel Coixet,Netflix
Tropa de Elite (The Elite Squad),"Action & Adventure, Drama",José Padilha,IFC Films
Elite Squad: The Enemy Within,"Action & Adventure, Art House & International, Drama",José Padilha,Variance Films
Stonehearst Asylum,Mystery & Suspense,Brad Anderson,Millenium Entertainment
Elizabeth Harvest,"Mystery & Suspense, Science Fiction & Fantasy",Sebastian Gutierrez,IFC Films
Elizabethtown,"Comedy, Drama, Romance",Cameron Crowe,Paramount Pictures
Ella Enchanted,"Comedy, Kids & Family, Science Fiction & Fantasy, Romance",Tommy O'Haver,Miramax Films
Elle,"Art House & International, Drama, Mystery & Suspense",Paul Verhoeven,SBS Productions
$ellebrity,"Documentary, Special Interest",Kevin Mazur,Independent Pictures
Elles,Drama,Malgorzata Szumowska,Kino Lorber Films
Ellie Parker,"Art House & International, Comedy",Scott Coffey,Strand Releasing
Elling,"Art House & International, Comedy, Drama",Petter Naess,First Look Pictures
Eloise,Horror,Robert Legato,Vinson Films
Elsa & Fred,Comedy,"Michael Radford, Anna Pavignano",Millennium Entertainment
Elstree 1976,"Art House & International, Documentary",Jon Spira,British Film Company
"Elvira, Mistress of the Dark","Comedy, Horror, Mystery & Suspense, Science Fiction & Fantasy",James Signorelli,New World Video
Elvira's Haunted Hills,"Comedy, Horror",Sam Irvin,The Elvira Movie Company
Elvis & Nixon,Comedy,Liza Johnson,Amazon Studios
Elvis: That's the Way It Is,"Documentary, Musical & Performing Arts",Denis Sanders,MGM Home Entertainment
Elysium,"Drama, Science Fiction & Fantasy",Neill Blomkamp,TriStar Pictures
Embrace Of The Serpent (El Abrazo De La Serpiente),"Action & Adventure, Art House & International",Ciro Guerra,Buffalo Films
Embrace of the Vampire,"Cult Movies, Drama, Horror",Carl Bessai,New Line Home Entertainment
Emelie,Mystery & Suspense,Michael Thelin,Uncorked Productions
Emergo (Apartment 143),Horror,Carles Torrens,Magnolia Pictures
Emmanuel's Gift,"Documentary, Special Interest","Lisa Lax, Nancy Stern",First Look Pictures
Emmet Otter's Jug-Band Christmas,"Kids & Family, Musical & Performing Arts",Jim Henson,
"Empathy, Inc.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Yedidya Gorsetman,Dark Star Pictures
Emperor,"Drama, Mystery & Suspense",Peter Webber,Roadside Attractions
The Emperor's New Clothes,"Comedy, Drama",Alan Taylor,Paramount Classics
The Emperor's New Groove,"Animation, Kids & Family, Science Fiction & Fantasy",Mark Dindal,Buena Vista Pictures
The Empire in Africa,"Documentary, Special Interest",Philippe Diaz,Cinema Libre
